,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol
2968,T-Gaia Corp.,15.0,Low ESG Risk,Retailing,TKS,3738
1833,Scholastic Corp.,15.0,Low ESG Risk,Media,NAS,SCHL
3361,"PlayAGS, Inc.",15.0,Low ESG Risk,Software & Services,NYS,AGS
2240,"CRE Logistics REIT, Inc.",15.0,Low ESG Risk,Real Estate,TKS,3487
2844,Happinet Corp.,15.0,Low ESG Risk,Retailing,TKS,7552
3018,Zalando SE,15.1,Low ESG Risk,Retailing,ETR,ZAL
3016,Yellow Hat Ltd.,15.1,Low ESG Risk,Retailing,TKS,9882
2469,"MFA Financial, Inc.",15.1,Low ESG Risk,Real Estate,NYS,MFA
3055,Intel Corp.,15.1,Low ESG Risk,Semiconductors,NAS,INTC
3636,HollySys Automation Technologies Ltd.,15.1,Low ESG Risk,Technology Hardware,NAS,HOLI
3143,"Automatic Data Processing, Inc.",15.1,Low ESG Risk,Software & Services,NAS,ADP
1584,"MetLife, Inc.",15.1,Low ESG Risk,Insurance,NYS,MET
1612,"The Hartford Financial Services Group, Inc.",15.1,Low ESG Risk,Insurance,NYS,HIG
2210,Chimera Investment Corp.,15.1,Low ESG Risk,Real Estate,NYS,CIM
2000,"Zoetis, Inc.",15.1,Low ESG Risk,Pharmaceuticals,NYS,ZTS
3551,"Calix, Inc.",15.1,Low ESG Risk,Technology Hardware,NYS,CALX
3923,GOLDWIN INC.,15.1,Low ESG Risk,Textiles & Apparel,TKS,8111
3805,"Vishay Precision Group, Inc.",15.1,Low ESG Risk,Technology Hardware,NYS,VPG
3142,"Autodesk, Inc.",15.1,Low ESG Risk,Software & Services,NAS,ADSK
72,"Musashi Seimitsu Industry Co., Ltd.",15.1,Low ESG Risk,Auto Components,TKS,7220
1114,Jupiter Fund Management Plc,15.1,Low ESG Risk,Diversified Financials,LON,JUP
429,Trane Technologies Plc,15.1,Low ESG Risk,Building Products,NYS,TT
1813,Proto Corp.,15.1,Low ESG Risk,Media,TKS,4298
3001,Victoria's Secret & Co.,15.1,Low ESG Risk,Retailing,NYS,VSCO
3700,"Mirion Technologies, Inc.",15.1,Low ESG Risk,Technology Hardware,NYS,MIR
2824,"Floor & Decor Holdings, Inc.",15.1,Low ESG Risk,Retailing,NYS,FND
1909,Weyerhaeuser Co.,15.2,Low ESG Risk,Paper & Forestry,NYS,WY
2420,"Kennedy-Wilson Holdings, Inc.",15.2,Low ESG Risk,Real Estate,NYS,KW
1421,HOYA Corp.,15.2,Low ESG Risk,Healthcare,TKS,7741
3180,Cognizant Technology Solutions Corp.,15.2,Low ESG Risk,Software & Services,NAS,CTSH
2645,"Sunstone Hotel Investors, Inc.",15.2,Low ESG Risk,Real Estate,NYS,SHO
2342,Hamborner REIT AG,15.2,Low ESG Risk,Real Estate,ETR,HABA
2330,GLP J-REIT,15.2,Low ESG Risk,Real Estate,TKS,3281
93,SAF-HOLLAND SE,15.2,Low ESG Risk,Auto Components,ETR,SFQ
2201,Centerspace,15.2,Low ESG Risk,Real Estate,NYS,CSR
2739,Abercrombie & Fitch Co.,15.2,Low ESG Risk,Retailing,NYS,ANF
2121,Agree Realty Corp.,15.2,Low ESG Risk,Real Estate,NYS,ADC
2757,"Autobacs Seven Co., Ltd.",15.2,Low ESG Risk,Retailing,TKS,9832
4141,"Ryder System, Inc.",15.2,Low ESG Risk,Transportation,NYS,R
2747,"American Eagle Outfitters, Inc.",15.2,Low ESG Risk,Retailing,NYS,AEO
1610,Talanx AG,15.2,Low ESG Risk,Insurance,ETR,TLX
3638,Horiba Ltd.,15.2,Low ESG Risk,Technology Hardware,TKS,6856
2484,"MORI TRUST REIT, Inc.",15.2,Low ESG Risk,Real Estate,TKS,8961
3021,"Zumiez, Inc.",15.3,Low ESG Risk,Retailing,NAS,ZUMZ
16,"American Axle & Manufacturing Holdings, Inc.",15.3,Low ESG Risk,Auto Components,NYS,AXL
1239,Varta AG,15.3,Low ESG Risk,Electrical Equipment,ETR,VAR1
1210,GS Yuasa Corp.,15.3,Low ESG Risk,Electrical Equipment,TKS,6674
1547,Aon Plc,15.3,Low ESG Risk,Insurance,NYS,AON
1345,Sysco Corp.,15.3,Low ESG Risk,Food Retailers,NYS,SYY
3005,Watches of Switzerland Group Plc,15.3,Low ESG Risk,Retailing,LON,WOSG
3207,DXC Technology Co.,15.3,Low ESG Risk,Software & Services,NYS,DXC
3172,"Cass Information Systems, Inc.",15.3,Low ESG Risk,Software & Services,NAS,CASS
3903,"Crocs, Inc.",15.3,Low ESG Risk,Textiles & Apparel,NAS,CROX
2711,"Xenia Hotels & Resorts, Inc.",15.3,Low ESG Risk,Real Estate,NYS,XHR
2209,Chatham Lodging Trust,15.3,Low ESG Risk,Real Estate,NYS,CLDT
783,"Sega Sammy Holdings, Inc.",15.3,Low ESG Risk,Consumer Durables,TKS,6460
4065,ArcBest Corp.,15.3,Low ESG Risk,Transportation,NAS,ARCB
4051,"Sunnova Energy International, Inc.",15.3,Low ESG Risk,Traders & Distributors,NYS,NOVA
3096,"Teradyne, Inc.",15.3,Low ESG Risk,Semiconductors,NAS,TER
13,AB Dynamics Plc,15.4,Low ESG Risk,Auto Components,LON,ABDP
1454,"Owens & Minor, Inc.",15.4,Low ESG Risk,Healthcare,NYS,OMI
688,"WDB Holdings Co., Ltd.",15.4,Low ESG Risk,Commercial Services,TKS,2475
1342,SpartanNash Co.,15.4,Low ESG Risk,Food Retailers,NAS,SPTN
3228,FDM Group (Holdings) Plc,15.4,Low ESG Risk,Software & Services,LON,FDM
3524,Ai Holdings Corp.,15.4,Low ESG Risk,Technology Hardware,TKS,3076
1385,Centene Corp.,15.4,Low ESG Risk,Healthcare,NYS,CNC
3007,"Weyco Group, Inc.",15.4,Low ESG Risk,Retailing,NAS,WEYS
3210,"eBay, Inc.",15.4,Low ESG Risk,Software & Services,NAS,EBAY
969,"Berry Global Group, Inc.",15.4,Low ESG Risk,Containers & Packaging,NYS,BERY
3066,"Marvell Technology, Inc.",15.4,Low ESG Risk,Semiconductors,NAS,MRVL
2582,Retail Opportunity Investments Corp.,15.4,Low ESG Risk,Real Estate,NAS,ROIC
3694,"Mesa Laboratories, Inc.",15.4,Low ESG Risk,Technology Hardware,NAS,MLAB
967,Avery Dennison Corp.,15.4,Low ESG Risk,Containers & Packaging,NYS,AVY
1943,GSK Plc,15.4,Low ESG Risk,Pharmaceuticals,LON,GSK
43,G-Tekt Corp.,15.4,Low ESG Risk,Auto Components,TKS,5970
615,"MAXIMUS, Inc.",15.4,Low ESG Risk,Commercial Services,NYS,MMS
909,Service Corp. International,15.5,Low ESG Risk,Consumer Services,NYS,SCI
3414,Teradata Corp.,15.5,Low ESG Risk,Software & Services,NYS,TDC
2983,"The TJX Cos., Inc.",15.5,Low ESG Risk,Retailing,NYS,TJX
3025,Advantest Corp.,15.5,Low ESG Risk,Semiconductors,TKS,6857
2992,"Ulta Beauty, Inc.",15.5,Low ESG Risk,Retailing,NAS,ULTA
2571,Realty Income Corp.,15.5,Low ESG Risk,Real Estate,NYS,O
2177,"Broadstone Net Lease, Inc.",15.5,Low ESG Risk,Real Estate,NYS,BNL
3724,"OSI Systems, Inc.",15.5,Low ESG Risk,Technology Hardware,NAS,OSIS
3170,Capita Plc,15.5,Low ESG Risk,Software & Services,LON,CPI
4001,Wacoal Holdings Corp.,15.5,Low ESG Risk,Textiles & Apparel,TKS,3591
3162,"Broadridge Financial Solutions, Inc.",15.5,Low ESG Risk,Software & Services,NYS,BR
3183,"Commvault Systems, Inc.",15.5,Low ESG Risk,Software & Services,NAS,CVLT
1800,"Netflix, Inc.",15.5,Low ESG Risk,Media,NAS,NFLX
3150,"Bentley Systems, Inc.",15.5,Low ESG Risk,Software & Services,NAS,BSY
3017,"Yondoshi Holdings, Inc.",15.6,Low ESG Risk,Retailing,TKS,8008
3301,"Mastercard, Inc.",15.6,Low ESG Risk,Software & Services,NYS,MA
1235,"SolarEdge Technologies, Inc.",15.6,Low ESG Risk,Electrical Equipment,NAS,SEDG
790,Sony Group Corp.,15.6,Low ESG Risk,Consumer Durables,TKS,6758
77,"NHK Spring Co., Ltd.",15.6,Low ESG Risk,Auto Components,TKS,5991
789,"Sonos, Inc.",15.6,Low ESG Risk,Consumer Durables,NAS,SONO
3222,"Etsy, Inc.",15.6,Low ESG Risk,Software & Services,NAS,ETSY
2928,"Petco Health & Wellness Company, Inc.",15.6,Low ESG Risk,Retailing,NAS,WOOF
3968,PVH Corp.,15.6,Low ESG Risk,Textiles & Apparel,NYS,PVH
1482,"The Cooper Cos., Inc.",15.6,Low ESG Risk,Healthcare,NAS,COO
4100,International Distributions Services plc,15.6,Low ESG Risk,Transportation,LON,IDS
2698,Warehouse REIT Plc,15.6,Low ESG Risk,Real Estate,LON,WHR
3333,"Nintendo Co., Ltd.",15.6,Low ESG Risk,Software & Services,TKS,7974
4014,Ashtead Group Plc,15.6,Low ESG Risk,Traders & Distributors,LON,AHT
4018,BayWa AG,15.6,Low ESG Risk,Traders & Distributors,ETR,BYW6
3998,"Vera Bradley, Inc.",15.6,Low ESG Risk,Textiles & Apparel,NAS,VRA
1949,ICON plc,15.6,Low ESG Risk,Pharmaceuticals,NAS,ICLR
1802,"Nexstar Media Group, Inc.",15.6,Low ESG Risk,Media,NAS,NXST
3714,"Nextracker, Inc.",15.6,Low ESG Risk,Technology Hardware,NAS,NXT
4054,"United Rentals, Inc.",15.7,Low ESG Risk,Traders & Distributors,NYS,URI
555,"Copart, Inc.",15.7,Low ESG Risk,Commercial Services,NAS,CPRT
3596,EIZO Corp.,15.7,Low ESG Risk,Technology Hardware,TKS,6737
3193,CyberArk Software Ltd.,15.7,Low ESG Risk,Software & Services,NAS,CYBR
3586,"Dell Technologies, Inc.",15.7,Low ESG Risk,Technology Hardware,NYS,DELL
2741,"Academy Sports & Outdoors, Inc.",15.7,Low ESG Risk,Retailing,NAS,ASO
810,"Vista Outdoor, Inc.",15.7,Low ESG Risk,Consumer Durables,NYS,VSTO
3983,Steven Madden Ltd.,15.7,Low ESG Risk,Textiles & Apparel,NAS,SHOO
4024,Bunzl Plc,15.7,Low ESG Risk,Traders & Distributors,LON,BNZL
62,LCI Industries,15.7,Low ESG Risk,Auto Components,NYS,LCII
3246,Globant SA,15.7,Low ESG Risk,Software & Services,NYS,GLOB
4059,"WESCO International, Inc.",15.7,Low ESG Risk,Traders & Distributors,NYS,WCC
2316,Frontier Real Estate Investment Corp.,15.7,Low ESG Risk,Real Estate,TKS,8964
3908,Dr. Martens Plc,15.7,Low ESG Risk,Textiles & Apparel,LON,DOCS
3152,BIPROGY Inc.,15.8,Low ESG Risk,Software & Services,TKS,8056
3148,"Bandai Namco Holdings, Inc.",15.8,Low ESG Risk,Software & Services,TKS,7832
2588,"Robot Home, Inc.",15.8,Low ESG Risk,Real Estate,TKS,1435
1023,abrdn Plc,15.8,Low ESG Risk,Diversified Financials,LON,ABDN
781,"Sankyo Co., Ltd.",15.8,Low ESG Risk,Consumer Durables,TKS,6417
1234,SMA Solar Technology AG,15.8,Low ESG Risk,Electrical Equipment,ETR,S92
1157,Schroders Plc,15.8,Low ESG Risk,Diversified Financials,LON,SDR
2268,"Easterly Government Properties, Inc.",15.8,Low ESG Risk,Real Estate,NYS,DEA
2267,"Dynex Capital, Inc.",15.8,Low ESG Risk,Real Estate,NYS,DX
48,Goodyear Tire & Rubber Co.,15.8,Low ESG Risk,Auto Components,NAS,GT
2913,"Nextage Co., Ltd.",15.8,Low ESG Risk,Retailing,TKS,3186
3429,"UiPath, Inc.",15.8,Low ESG Risk,Software & Services,NYS,PATH
1173,"Tradeweb Markets, Inc.",15.8,Low ESG Risk,Diversified Financials,NAS,TW
2494,Newriver Reit Plc,15.8,Low ESG Risk,Real Estate,LON,NRR
3707,"Napco Security Technologies, Inc.",15.8,Low ESG Risk,Technology Hardware,NAS,NSSC
3719,Nohmi Bosai Ltd.,15.8,Low ESG Risk,Technology Hardware,TKS,6744
2751,Arata Corp.,15.8,Low ESG Risk,Retailing,TKS,2733
2498,"Nippon Accommodations Fund, Inc.",15.8,Low ESG Risk,Real Estate,TKS,3226
1748,"Dentsu Group, Inc.",15.9,Low ESG Risk,Media,TKS,4324
2846,"Haverty Furniture Cos., Inc.",15.9,Low ESG Risk,Retailing,NYS,HVT
868,Graham Holdings Co.,15.9,Low ESG Risk,Consumer Services,NYS,GHC
1977,Repligen Corp.,15.9,Low ESG Risk,Pharmaceuticals,NAS,RGEN
2708,Whitestone REIT,15.9,Low ESG Risk,Real Estate,NYS,WSR
4118,"Mitsui O.S.K. Lines, Ltd.",15.9,Low ESG Risk,Transportation,TKS,9104
1439,"Merit Medical Systems, Inc.",15.9,Low ESG Risk,Healthcare,NAS,MMSI
595,Intertek Group Plc,15.9,Low ESG Risk,Commercial Services,LON,ITRK
2916,Nojima Corp.,15.9,Low ESG Risk,Retailing,TKS,7419
3215,Elastic NV,15.9,Low ESG Risk,Software & Services,NYS,ESTC
3635,Hochiki Corp.,15.9,Low ESG Risk,Technology Hardware,TKS,6745
3644,"IBIDEN Co., Ltd.",15.9,Low ESG Risk,Technology Hardware,TKS,4062
916,"Stride, Inc.",15.9,Low ESG Risk,Consumer Services,NYS,LRN
1882,"Zenrin Co., Ltd.",15.9,Low ESG Risk,Media,TKS,9474
4129,"Old Dominion Freight Line, Inc.",15.9,Low ESG Risk,Transportation,NAS,ODFL
3000,Vertu Motors Plc,15.9,Low ESG Risk,Retailing,LON,VTU
1917,"Azenta, Inc.",15.9,Low ESG Risk,Pharmaceuticals,NAS,AZTA
32,"Dorman Products, Inc.",15.9,Low ESG Risk,Auto Components,NAS,DORM
2277,EPR Properties,16.0,Low ESG Risk,Real Estate,NYS,EPR
2776,"Burlington Stores, Inc.",16.0,Low ESG Risk,Retailing,NYS,BURL
1522,"Sekisui House, Ltd.",16.0,Low ESG Risk,Homebuilders,TKS,1928
2539,Phoenix Spree Deutschland Ltd.,16.0,Low ESG Risk,Real Estate,LON,PSDL
82,NSK Ltd.,16.0,Low ESG Risk,Auto Components,TKS,6471
1353,"Walgreens Boots Alliance, Inc.",16.0,Low ESG Risk,Food Retailers,NAS,WBA
2654,Target Healthcare REIT Plc,16.0,Low ESG Risk,Real Estate,LON,THRL
2771,"Boot Barn Holdings, Inc.",16.0,Low ESG Risk,Retailing,NYS,BOOT
4058,"W.W. Grainger, Inc.",16.0,Low ESG Risk,Traders & Distributors,NYS,GWW
722,"AMMO, Inc.",16.0,Low ESG Risk,Consumer Durables,NAS,POWW
2372,"Hulic Co., Ltd.",16.0,Low ESG Risk,Real Estate,TKS,3003
1314,"Itochu-Shokuhin Co., Ltd.",16.0,Low ESG Risk,Food Retailers,TKS,2692
1637,Deere & Co.,16.0,Low ESG Risk,Machinery,NYS,DE
981,Graphic Packaging Holding Co.,16.0,Low ESG Risk,Containers & Packaging,NYS,GPK
29,"Cooper-Standard Holdings, Inc.",16.0,Low ESG Risk,Auto Components,NYS,CPS
2395,"Invitation Homes, Inc.",16.0,Low ESG Risk,Real Estate,NYS,INVH
836,"Bright Horizons Family Solutions, Inc.",16.0,Low ESG Risk,Consumer Services,NYS,BFAM
2829,"G-7 Holdings, Inc.",16.0,Low ESG Risk,Retailing,TKS,7508
684,Viad Corp.,16.0,Low ESG Risk,Commercial Services,NYS,VVI
1839,"Sirius XM Holdings, Inc.",16.0,Low ESG Risk,Media,NAS,SIRI
3744,"Ribbon Communications, Inc.",16.0,Low ESG Risk,Technology Hardware,NAS,RBBN
3404,"Take-Two Interactive Software, Inc.",16.0,Low ESG Risk,Software & Services,NAS,TTWO
3181,"COLOPL, Inc.",16.1,Low ESG Risk,Software & Services,TKS,3668
3919,G-III Apparel Group Ltd.,16.1,Low ESG Risk,Textiles & Apparel,NAS,GIII
3239,GB Group Plc,16.1,Low ESG Risk,Software & Services,LON,GBG
1177,"Voya Financial, Inc.",16.1,Low ESG Risk,Diversified Financials,NYS,VOYA
1951,"IQVIA Holdings, Inc.",16.1,Low ESG Risk,Pharmaceuticals,NYS,IQV
3198,"Datadog, Inc.",16.1,Low ESG Risk,Software & Services,NAS,DDOG
1736,"Clear Channel Outdoor Holdings, Inc.",16.1,Low ESG Risk,Media,NYS,CCO
1957,"Maravai Lifesciences Holdings, Inc.",16.1,Low ESG Risk,Pharmaceuticals,NAS,MRVI
3165,"CACI International, Inc.",16.1,Low ESG Risk,Software & Services,NYS,CACI
1875,Warner Music Group Corp.,16.1,Low ESG Risk,Media,NAS,WMG
4355,National Grid Plc,16.1,Low ESG Risk,Utilities,LON,NG
2975,"The Aaron's Co., Inc.",16.1,Low ESG Risk,Retailing,NYS,AAN
1706,"Atlanta Braves Holdings, Inc.",16.1,Low ESG Risk,Media,NAS,BATRK
420,Johnson Controls International Plc,16.1,Low ESG Risk,Building Products,NYS,JCI
3081,PVA TePla AG,16.1,Low ESG Risk,Semiconductors,ETR,TPE
1791,"Lifull Co., Ltd.",16.1,Low ESG Risk,Media,TKS,2120
2831,"Gap, Inc.",16.1,Low ESG Risk,Retailing,NYS,GPS
1649,JOST Werke SE,16.1,Low ESG Risk,Machinery,ETR,JST
2275,Empiric Student Property PLC,16.1,Low ESG Risk,Real Estate,LON,ESP
691,"World Holdings Co., Ltd.",16.1,Low ESG Risk,Commercial Services,TKS,2429
2784,Carvana Co.,16.1,Low ESG Risk,Retailing,NYS,CVNA
1398,Definitive Healthcare Corp.,16.1,Low ESG Risk,Healthcare,NAS,DH
4084,"Expeditors International of Washington, Inc.",16.2,Low ESG Risk,Transportation,NYS,EXPD
3192,"CSG Systems International, Inc.",16.2,Low ESG Risk,Software & Services,NAS,CSGS
2502,"NNN REIT, Inc.",16.2,Low ESG Risk,Real Estate,NYS,NNN
2639,"Summit Hotel Properties, Inc.",16.2,Low ESG Risk,Real Estate,NYS,INN
2493,"Newmark Group, Inc.",16.2,Low ESG Risk,Real Estate,NAS,NMRK
3355,"Paycor HCM, Inc.",16.2,Low ESG Risk,Software & Services,NAS,PYCR
219,Bank of Georgia Group Plc,16.2,Low ESG Risk,Banks,LON,BGEO
4053,Travis Perkins Plc,16.2,Low ESG Risk,Traders & Distributors,LON,TPK
3928,"Hanesbrands, Inc.",16.2,Low ESG Risk,Textiles & Apparel,NYS,HBI
3059,KLA Corp.,16.2,Low ESG Risk,Semiconductors,NAS,KLAC
31,DENSO Corp.,16.2,Low ESG Risk,Auto Components,TKS,6902
2832,"Genesco, Inc.",16.2,Low ESG Risk,Retailing,NYS,GCO
728,Clarus Corp.,16.2,Low ESG Risk,Consumer Durables,NAS,CLAR
2492,"New York Mortgage Trust, Inc.",16.2,Low ESG Risk,Real Estate,NAS,NYMT
617,Mears Group Plc,16.2,Low ESG Risk,Commercial Services,LON,MER
3365,"Procore Technologies, Inc.",16.2,Low ESG Risk,Software & Services,NYS,PCOR
2848,"Hibbett, Inc.",16.2,Low ESG Risk,Retailing,NAS,HIBB
4317,E.ON SE,16.2,Low ESG Risk,Utilities,ETR,EOAN
36,"F.C.C. Co., Ltd.",16.2,Low ESG Risk,Auto Components,TKS,7296
3020,"ZOZO, Inc.",16.2,Low ESG Risk,Retailing,TKS,3092
1978,"Revvity, Inc.",16.2,Low ESG Risk,Pharmaceuticals,NYS,RVTY
1242,XP Power Ltd.,16.2,Low ESG Risk,Electrical Equipment,LON,XPP
872,"Hilton Worldwide Holdings, Inc.",16.2,Low ESG Risk,Consumer Services,NYS,HLT
2401,"Japan Excellent, Inc.",16.3,Low ESG Risk,Real Estate,TKS,8987
1365,Alfresa Holdings Corp.,16.3,Low ESG Risk,Healthcare,TKS,2784
2976,"The Buckle, Inc.",16.3,Low ESG Risk,Retailing,NYS,BKE
2740,ABOUT YOU Holding SE,16.3,Low ESG Risk,Retailing,ETR,YOU
2263,Diversified Healthcare Trust,16.3,Low ESG Risk,Real Estate,NAS,DHC
3603,Espec Corp.,16.3,Low ESG Risk,Technology Hardware,TKS,6859
2963,"Stitch Fix, Inc.",16.3,Low ESG Risk,Retailing,NAS,SFIX
3134,"Aspen Technology, Inc.",16.3,Low ESG Risk,Software & Services,NAS,AZPN
1981,Sartorius AG,16.3,Low ESG Risk,Pharmaceuticals,ETR,SRT3
2591,"Ryman Hospitality Properties, Inc.",16.3,Low ESG Risk,Real Estate,NYS,RHP
3094,SÜSS MicroTec SE,16.3,Low ESG Risk,Semiconductors,ETR,SMHN
683,"Verisk Analytics, Inc.",16.3,Low ESG Risk,Commercial Services,NAS,VRSK
1414,"H.U. Group Holdings, Inc.",16.3,Low ESG Risk,Healthcare,TKS,4544
2993,"Under Armour, Inc.",16.3,Low ESG Risk,Retailing,NYS,UAA
1424,"IDEXX Laboratories, Inc.",16.3,Low ESG Risk,Healthcare,NAS,IDXX
1520,Persimmon Plc,16.3,Low ESG Risk,Homebuilders,LON,PSN
3190,Criteo SA,16.3,Low ESG Risk,Software & Services,NAS,CRTO
2503,"Nomura Real Estate Holdings, Inc.",16.3,Low ESG Risk,Real Estate,TKS,3231
3896,Capri Holdings Ltd.,16.3,Low ESG Risk,Textiles & Apparel,NYS,CPRI
2915,"Nitori Holdings Co., Ltd.",16.3,Low ESG Risk,Retailing,TKS,9843
1527,TopBuild Corp.,16.3,Low ESG Risk,Homebuilders,NYS,BLD
2222,"City Office REIT, Inc.",16.3,Low ESG Risk,Real Estate,NYS,CIO
3219,Endava Plc,16.3,Low ESG Risk,Software & Services,NYS,DAVA
645,"Resources Connection, Inc.",16.3,Low ESG Risk,Commercial Services,NAS,RGP
3233,"Fortinet, Inc.",16.3,Low ESG Risk,Software & Services,NAS,FTNT
3226,"F5, Inc.",16.3,Low ESG Risk,Software & Services,NAS,FFIV
1670,Spirax-Sarco Engineering Plc,16.3,Low ESG Risk,Machinery,LON,SPX
915,"Strategic Education, Inc.",16.4,Low ESG Risk,Consumer Services,NAS,STRA
1763,"Gakken Holdings Co., Ltd.",16.4,Low ESG Risk,Media,TKS,9470
3043,"Cohu, Inc.",16.4,Low ESG Risk,Semiconductors,NAS,COHU
953,"WW International, Inc.",16.4,Low ESG Risk,Consumer Services,NAS,WW
3738,"Pure Storage, Inc.",16.4,Low ESG Risk,Technology Hardware,NYS,PSTG
3784,TDK Corp.,16.4,Low ESG Risk,Technology Hardware,TKS,6762
803,Turtle Beach Corp.,16.4,Low ESG Risk,Consumer Durables,NAS,HEAR
1528,"Tri Pointe Homes, Inc.",16.4,Low ESG Risk,Homebuilders,NYS,TPH
2454,"LTC Properties, Inc.",16.4,Low ESG Risk,Real Estate,NYS,LTC
2541,Picton Property Income Ltd.,16.4,Low ESG Risk,Real Estate,LON,PCTN
3250,"GungHo Online Entertainment, Inc.",16.4,Low ESG Risk,Software & Services,TKS,3765
2353,"Heiwa Real Estate REIT, Inc.",16.4,Low ESG Risk,Real Estate,TKS,8966
40,Fox Factory Holding Corp.,16.4,Low ESG Risk,Auto Components,NAS,FOXF
3605,"Evolv Technologies Holdings, Inc.",16.4,Low ESG Risk,Technology Hardware,NAS,EVLV
3342,"OneSpan, Inc.",16.4,Low ESG Risk,Software & Services,NAS,OSPN
1451,"OraSure Technologies, Inc.",16.4,Low ESG Risk,Healthcare,NAS,OSUR
893,"Mister Car Wash, Inc.",16.4,Low ESG Risk,Consumer Services,NYS,MCW
1083,flatexDEGIRO AG,16.4,Low ESG Risk,Diversified Financials,ETR,FTK
3356,"PayPal Holdings, Inc.",16.4,Low ESG Risk,Software & Services,NAS,PYPL
3726,PAR Technology Corp.,16.5,Low ESG Risk,Technology Hardware,NYS,PAR
3917,"Fujibo Holdings, Inc.",16.5,Low ESG Risk,Textiles & Apparel,TKS,3104
656,"SECOM Co., Ltd.",16.5,Low ESG Risk,Commercial Services,TKS,9735
2247,Cushman & Wakefield Plc,16.5,Low ESG Risk,Real Estate,NYS,CWK
1576,Just Group Plc,16.5,Low ESG Risk,Insurance,LON,JUST
2911,"National Vision Holdings, Inc.",16.5,Low ESG Risk,Retailing,NAS,EYE
3227,"FactSet Research Systems, Inc.",16.5,Low ESG Risk,Software & Services,NYS,FDS
1529,Vistry Group Plc,16.5,Low ESG Risk,Homebuilders,LON,VTY
2317,"FRP Holdings, Inc.",16.5,Low ESG Risk,Real Estate,NAS,FRPH
1167,Synchrony Financial,16.5,Low ESG Risk,Diversified Financials,NYS,SYF
1331,Performance Food Group Co.,16.5,Low ESG Risk,Food Retailers,NYS,PFGC
2119,AEW UK REIT Plc,16.5,Low ESG Risk,Real Estate,LON,AEWU
1901,PotlatchDeltic Corp.,16.5,Low ESG Risk,Paper & Forestry,NAS,PCH
1625,AGCO Corp.,16.5,Low ESG Risk,Machinery,NYS,AGCO
2573,"Redwood Trust, Inc.",16.5,Low ESG Risk,Real Estate,NYS,RWT
1916,"Avantor, Inc.",16.5,Low ESG Risk,Pharmaceuticals,NYS,AVTR
3803,"Viavi Solutions, Inc.",16.5,Low ESG Risk,Technology Hardware,NAS,VIAV
3456,"Zscaler, Inc.",16.5,Low ESG Risk,Software & Services,NAS,ZS
1693,4imprint Group Plc,16.5,Low ESG Risk,Media,LON,FOUR
4119,Mobico Group Plc,16.5,Low ESG Risk,Transportation,LON,MCG
2986,"Tilly's, Inc.",16.5,Low ESG Risk,Retailing,NYS,TLYS
1450,"Omnicell, Inc.",16.5,Low ESG Risk,Healthcare,NAS,OMCL
2118,AEON REIT Investment Corp.,16.5,Low ESG Risk,Real Estate,TKS,3292
1772,"iHeartMedia, Inc.",16.6,Low ESG Risk,Media,NAS,IHRT
4048,"SiteOne Landscape Supply, Inc.",16.6,Low ESG Risk,Traders & Distributors,NYS,SITE
2879,"Leslie's, Inc.",16.6,Low ESG Risk,Retailing,NAS,LESL
2672,Triple Point Social Housing Reit Plc,16.6,Low ESG Risk,Real Estate,LON,SOHO
1386,"Certara, Inc.",16.6,Low ESG Risk,Healthcare,NAS,CERT
2279,Equity Commonwealth,16.6,Low ESG Risk,Real Estate,NYS,EQC
299,"Huntington Bancshares, Inc.",16.6,Low ESG Risk,Banks,NAS,HBAN
3090,Siltronic AG,16.6,Low ESG Risk,Semiconductors,ETR,WAF
1484,TOKAI Corp. /9729/,16.6,Low ESG Risk,Healthcare,TKS,9729
1277,Diageo Plc,16.6,Low ESG Risk,Food Products,LON,DGE
899,Perdoceo Education Corp.,16.6,Low ESG Risk,Consumer Services,NAS,PRDO
897,OneSpaWorld Holdings Ltd.,16.6,Low ESG Risk,Consumer Services,NAS,OSW
1474,STRATEC SE,16.6,Low ESG Risk,Healthcare,ETR,SBS
2168,"Blackstone Mortgage Trust, Inc.",16.6,Low ESG Risk,Real Estate,NYS,BXMT
2383,"Independence Realty Trust, Inc.",16.6,Low ESG Risk,Real Estate,NYS,IRT
104,"Tachi-S Co., Ltd.",16.6,Low ESG Risk,Auto Components,TKS,7239
3287,"Kyndryl Holdings, Inc.",16.6,Low ESG Risk,Software & Services,NYS,KD
2246,CubeSmart,16.6,Low ESG Risk,Real Estate,NYS,CUBE
115,Vitesco Technologies Group AG,16.6,Low ESG Risk,Auto Components,ETR,VTSC
1523,"Sumitomo Forestry Co., Ltd.",16.6,Low ESG Risk,Homebuilders,TKS,1911
1524,Taylor Morrison Home Corp.,16.6,Low ESG Risk,Homebuilders,NYS,TMHC
3389,"Smartsheet, Inc.",16.6,Low ESG Risk,Software & Services,NYS,SMAR
2511,Office Properties Income Trust,16.6,Low ESG Risk,Real Estate,NAS,OPI
928,"Tokyo Individualized Educational Institute, Inc.",16.6,Low ESG Risk,Consumer Services,TKS,4745
1578,Legal & General Group Plc,16.6,Low ESG Risk,Insurance,LON,LGEN
3575,"Corning, Inc.",16.7,Low ESG Risk,Technology Hardware,NYS,GLW
3353,"Paychex, Inc.",16.7,Low ESG Risk,Software & Services,NAS,PAYX
