,company_name,industry,stock_exchange,stock_ticker_symbol,market_capital_euro,score
38,Accenture Plc,Software & Services,NYS,ACN,187634586091.52,0.10970506725021276
39,"Hudson Pacific Properties, Inc.",Real Estate,NYS,HPP,1450468408.3200002,0.06645822493185403
40,AGNC Investment Corp.,Real Estate,NAS,AGNC,6941881344.0,0.06934667342054075
41,CTS Corp.,Technology Hardware,NYS,CTS,1509140444.16,0.06808475649671564
42,"Interpublic Group of Cos., Inc.",Media,NYS,IPG,10486349004.8,0.07016998228241673
43,"Badger Meter, Inc.",Technology Hardware,NYS,BMI,5323528273.92,0.07058366563466645
44,"ScanSource, Inc.",Technology Hardware,NAS,SCSC,1075927546.88,0.06959703304129879
45,"ManpowerGroup, Inc.",Commercial Services,NYS,MAN,3255979212.8,0.07010341538913331
46,"Piedmont Office Realty Trust, Inc.",Real Estate,NYS,PDM,955150064.64,0.07118188207647375
47,"Kelly Services, Inc.",Commercial Services,NAS,KELYA,734515105.2800001,0.07274353621929666
48,Sensata Technologies Holding Plc,Technology Hardware,NYS,ST,5784337756.16,0.07552941212739109
49,"Crown Holdings, Inc.",Containers & Packaging,NYS,CCK,8669966008.32,0.07619968578748335
50,Aptiv Plc,Auto Components,NYS,APTV,18124010127.36,0.07839567092506966
51,"Itron, Inc.",Technology Hardware,NAS,ITRI,4344052408.320001,0.07680776590769939
52,Western Digital Corp.,Technology Hardware,NAS,WDC,21565931438.08,0.08242096677486091
53,"Ennis, Inc.",Commercial Services,NYS,EBF,565598924.8000001,0.07915591327623689
54,"TriNet Group, Inc.",Commercial Services,NYS,TNET,5102170562.56,0.08020966802570469
55,"MillerKnoll, Inc.",Commercial Services,NAS,MLKN,1938345379.84,0.07947477478936131
56,"Jabil, Inc.",Technology Hardware,NYS,JBL,11994131087.36,0.08342343567426246
57,LXP Industrial Trust,Real Estate,NYS,LXP,2750595921.92,0.08127634755128849
58,"Trimble, Inc.",Technology Hardware,NAS,TRMB,13064640143.36,0.08367209349170306
59,"Annaly Capital Management, Inc.",Real Estate,NYS,NLY,9401465692.16,0.08443411464525213
60,"RE/MAX Holdings, Inc.",Real Estate,NYS,RMAX,285238065.92,0.08392950074018765
61,SBA Communications Corp.,Real Estate,NAS,SBAC,21175124623.36,0.08878180308068706
62,Kite Realty Group Trust,Real Estate,NYS,KRG,4882492579.84,0.08661025413245761
63,"AptarGroup, Inc.",Containers & Packaging,NYS,ATR,8831029657.6,0.08752742022865835
64,Elme Communities,Real Estate,NYS,ELME,1321328670.72,0.08578306706642873
65,"Empire State Realty Trust, Inc.",Real Estate,NYS,ESRT,2797943214.08,0.0877389582823834
66,Cognex Corp.,Technology Hardware,NAS,CGNX,8169668771.84,0.08898670256403707
67,Zebra Technologies Corp.,Technology Hardware,NAS,ZBRA,15416503296.0,0.09066999711071184
